itm_horse_meat|Pferdefleisch
itm_practice_boots|Übungsstiefel
itm_arena_tunic_white|Weißer Arenawaffenrock 
itm_arena_tunic_red|Roter Arenawaffenrock
itm_arena_tunic_blue|Blauer Arenawaffenrock
itm_arena_tunic_green|Grüner Arenawaffenrock
itm_arena_tunic_yellow|Gelber Arenawaffenrock
itm_book_tactics|Taktik-Holocron
itm_book_persuasion|Überzeugungskraft-Holocron
itm_book_leadership|Anführerschaft-Holocron
itm_book_intelligence|Intelligenz-Holocron
itm_book_trade|Handels-Holocron
itm_book_weapon_mastery|Waffenmeisterschafts-Holocron
itm_book_engineering|Ingenieurs-Holocron
itm_book_wound_treatment_reference|2-1B Medizinischer Droide
itm_book_first_aid_reference|Medizinische Datenbank
itm_book_tactics_reference|Dejarik Spieltisch
itm_book_trade_reference|Sabacc-Karten
itm_book_ironflesh_reference|Persönlicher Schild
itm_book_horse_archery_reference|Laser-Zieleinrichtung
itm_book_training_reference|Trainings Remote
itm_book_surgery_reference|Bacta Tank
itm_smoked_fish|Räucherfisch
itm_dried_meat|Nerf-Dörrfleisch
itm_cattle_meat|Nerf-Fleisch
itm_bantha_steak|Bantha-Steak
itm_pork|Schweinefleisch
itm_bread|Brot
itm_vagnerian_canape|Vagnerian Canape
itm_carbohydrate_pack|Carbohydrat-Pack
itm_apples|Äpfel
itm_blue_milk|Blaue Milch
itm_mujo_fruit|Mujo-Frucht
itm_cheese|Byss-Käse
itm_chicken|Brathähnchen
itm_protein_pack|Protein-Pack
itm_honey|Honig
itm_sausages|Nerf-Würste
itm_cabbages|Kohlköpfe
itm_bristle_melon|Bristle-Melone
itm_butter|Bantha-Butter
itm_container_spice_1|Schiffsladung ryllischer Gewürze
# itm_container_spice_2|Shipment of Gree Spice
# itm_container_spice_3|Shipment of Glitterstim Spice
itm_container_food_1|Schiffsladung Gemüse
itm_container_food_2|Schiffsladung Kohlenhydrate
itm_container_food_3|Schiffsladung Proteine
# itm_container_metal_1|Shipment of Beskar bars
itm_container_metal_2|Schiffsladung Durastahlbarren
# itm_container_metal_3|Shipment of Bronzium bars
itm_container_death_sticks|Karton Killer-Sticks
itm_container_drink_1|Schiffsladung Wasser
itm_container_drink_2|Schiffsladung schwarzer Äl
itm_container_drink_3|Schiffsladung Jurisaft
itm_carbonite_tibanna|carbonisierte Schiffsladung Tibannagas
# itm_container_ore|Ore container
itm_butter|Bantha-Butter
itm_wine|Mandalorianischer Wein
itm_ale|Corellianisches Bier
itm_spice|Gewürze
itm_salt|Bassel-Meer-Salz
itm_grain|Weizen
itm_flour|Mehl
itm_iron|Durastahl
itm_bacta_injector|Bacta Injektor
itm_bacta_capsule|Bacta-Kapsel
itm_binocular|Makrobinokular
itm_jetpack|Jetpack
itm_oil|Öl
itm_pottery|Geonosianische Töpferwaren
itm_linen|Lashaa-Seide
itm_furs|Ewok-Fell
itm_wookiee_fur|Wookiee-Pelz
itm_trandoshan_skin|Trandoshan-Haut
itm_droid_parts|Droiden-Komponente
itm_wool|Nerf-Wolle
itm_velvet|Naboo-Samt
itm_tools|Hydrospanner
itm_siege_supply|Zubehör
itm_quest_wine|Wein
itm_quest_ale|Bier
itm_pilgrim_disguise|Wallfahrerverkleidung
itm_pilgrim_hood|Wallfahrerkutte
itm_leather_gloves|Lederhandschuhe
itm_wrapping_boots|Wickelstiefel
itm_blue_hose|Blaue Hose
itm_hide_boots|Fellstiefel
itm_ankle_boots|Stiefeletten
itm_nomad_boots|Nomadenstiefel
itm_dress|Kleidung
itm_blue_dress|Blaue Kleidung
itm_peasant_dress|Bauernkleidung
itm_woolen_dress|Wollkleidung
itm_courtly_outfit|Höfische Kleidung
itm_nobleman_outfit|Nobelmannkleidung
itm_leather_armor|Lederrüstung
itm_shirt|Hemd
itm_linen_tunic|Leinenwaffenrock
itm_short_tunic|Prächtiger Waffenrock
itm_robe|Robe
itm_coarse_tunic|Grober Waffenrock
itm_leather_apron|Lederschürze
itm_tabard|Wappenrock
itm_leather_vest|Lederweste
itm_gambeson|Gambeson
itm_blue_gambeson|Blauer Gambeson
itm_red_gambeson|Roter Gambeson
itm_padded_cloth|Gefütterte Stoffrüstung
itm_leather_jerkin|Lederwams
itm_padded_leather|Gefütterte Lederrüstung
itm_straw_hat|Strohhut
itm_common_hood|Haube
itm_headcloth|Kopftuch
itm_woolen_hood|Wollhaube
itm_fur_hat|Fellhaube
itm_padded_coif|Gefütterte Bundhaube
itm_woolen_cap|Wollkappe
itm_felt_hat|Filzhut
itm_leather_cap|Lederhaube
itm_arming_cap|Unterhaube
itm_female_hood|Damenhaube
itm_wooden_stick|Holzstock
itm_club|Knüppel
itm_cleaver|Hackmesser
itm_knife|Messer
itm_butchering_knife|Metzgermesser
itm_hatchet|Kriegsbeil
itm_quarter_staff|Kampfstab
itm_throwing_axes|Gamorreanische Wurfaxt
itm_rich_outfit|Prunkkleidung
itm_black_hood|Schwarze Kapuze
itm_light_leather|Leichte Lederrüstung
itm_light_leather_boots|Leichte Lederstiefel
itm_black_gloves|Schwarze Handschuhe
itm_black_gloves_long|Lange Schwarze Handschuhe
itm_right_hand_glove|Rechter Handschuh
itm_grey_gloves|Graue Handschuhe
itm_darkgrey_gloves|Dunkelgraue Handschuhe
itm_lady_gloves|Damenhandschuhe
itm_mandalorian_crushgaunts|Mandalorianische Schlaghandschuhe
itm_imperial_royal_guard_gloves|Imperiale Königliche Wachhandschuhe
itm_imperial_stormtrooper_gloves|Imperiale Sturmtruppenhandschuhe
# itm_novatrooper_gloves|Novatrooper Gloves
# itm_incinerator_trooper_gloves|Incinerator Trooper Gloves
itm_clone_trooper_gloves_white|Klonkriegerhandschuhe
itm_clone_trooper_gloves_green|Klonkriegerhandschuhe
itm_clone_trooper_gloves_blue|Klonkriegerhandschuhe
itm_clone_trooper_gloves_red|Klonkriegerhandschuhe
itm_clone_trooper_gloves_yellow|Klonkriegerhandschuhe
itm_clone_trooper_gloves_orange|Klonkriegerhandschuhe
itm_grey_gloves_with_bottle|Graue Handschuhe mit Schnalle
itm_leather_boots|Lederstiefel
itm_leather_boots_reinforced|Verstärkte Lederstiefel
itm_black_boots|Schwarze Stiefel
itm_black_boots_reinforced|Verstärkte Schwarze Stiefel
itm_grey_boots|Graue Stiefel
itm_white_boots|Weiße Stiefel
itm_white_boots_reinforced|Verstärkte Weiße Stiefel
itm_imperial_royal_guard_boots|Imperiale Königliche Wachenstiefel
itm_imperial_stormtrooper_boots|Imperiale Sturmtruppenstiefel
itm_imperial_stormtrooper_boots_incinerator|Verbrennungstruppen Stiefel
# itm_imperial_stormtrooper_boots_novatrooper|Novatrooper Boots
itm_imperial_scout_trooper_boots|Imperiale Spähtruppenstiefel
itm_shadow_scout_trooper_boots|Imperiale Schatten-Spähtruppenstiefel
itm_clone_trooper_boots|Clone-Truppen-Stiefel
itm_lobot_headgear|Borg-Konstrukt A6
itm_glasses_black|Schützenbrille
itm_glasses_yellow|Schützenbrille
itm_eyepiece_tactics|Taktisches Augenglas
itm_eyepiece_leadership|Führungs-Augenglas
itm_slave_neck_chain|Sklavenhalsband
itm_officer_hat_white|Offizierskappe
itm_civilian_cloak_hood|Ziviler Umhang mit Kapuze
itm_imperial_hat_green|Imperiale Kappe
itm_imperial_hat_black|Imperiale Kappe
itm_imperial_hat_grey|Imperiale Kappe
itm_rebel_technician_helmet|Rebellen Kadettenhelm
itm_rebel_trooper_helmet|Rebellen Flottentruppenhelm
itm_rebel_heavy_trooper_helmet|Rebellen Schwere-Truppen-Helm
itm_rebel_honor_guard_helmet|Rebellen Ehrengardistenhelm
itm_transparent_helmet|Transparenter Helm
itm_imperial_trooper_helmet|Imperialer Kadettenhelm
itm_imperial_gunner_helmet|Imperialer Kanoniershelm
itm_imperial_navy_trooper_helmet|Imperialer Flottentruppenhelm
itm_mercenary_helmet|Söldnerhelm
itm_trandoshan_mask|Trandoshanische Maske
itm_trandoshan_helmet|Trandoshanischer Helm
itm_cap_military|Militär-Kappe
itm_cap_civilian_a|Zivil-Kappe
itm_ewok_hat|Ewok Hut
itm_rancor_keeper_hat|Rancor-Pfleger-Hut
itm_rodian_ventilator|Rodianer Beatmungsgerät
itm_rodian_ventilator_black|Rodianer Beatmungsgerät
itm_rodian_ventilator_red|Rodianer Beatmungsgerät
itm_gamorrean_helmet|Gamorreaner Helm
itm_fang_helmet|Reißzahnhelm
itm_beak_helmet|Rüsselhelm
itm_gas_mask|Gasmaske
itm_mining_helmet|Bergbauhelm
itm_pipe_helmet|Pfeifenhelm
itm_skiff_guard_helmet|Skiff-Wachen-Helm
itm_imperial_stormtrooper_helmet|Imperialer Sturmtruppenhelm
itm_imperial_stormtrooper_helmet_incinerator|Verbrennungstruppen Helm
itm_imperial_stormtrooper_helmet_novatrooper|Novatruppen Helm
itm_imperial_pilot_helmet|Imperialer Pilotenhelm
itm_clone_trooper_head|Klon-Truppen-Kopf
itm_clone_trooper_head_scar|Klon-Truppen-Kopf
itm_clone_trooper_helmet_white|Klon-Truppen-Helm
itm_clone_trooper_helmet_green|Klon-Truppen-Helm
itm_clone_trooper_helmet_blue|Klon-Truppen-Helm
itm_clone_trooper_helmet_red|Klon-Truppen-Helm
itm_clone_trooper_helmet_yellow|Klon-Truppen-Helm
itm_clone_trooper_helmet_orange|Klon-Truppen-Helm
itm_clone_trooper_helmet_mand|Klon-Truppen-Helm
itm_clone_trooper_helmet_lux|Klon-Truppen-Helm
itm_imperial_scout_trooper_helmet|Imperialer Spähtruppenhelm
itm_shadow_scout_trooper_helmet|Imperialer Schatten-Spähtruppenhelm
itm_republic_pilot_helmet|Republikanischer Pilotenhelm
itm_republic_commando_helmet|Republikanischer Kommandohelm
# itm_republic_commando_desert_helmet|Rebel Desert Commando Helmet
# itm_republic_commando_urban_helmet|Rebel Urban Commando Helmet
itm_rebel_sniper_helmet|Rebellen Scharfschützenhelm
itm_jedi_knight_hood|Jedi-Ritter-Kapuze
itm_jedi_knight_hood_unique|Jedi-Ritter-Kapuze
itm_sith_hood|Sith-Kapuze
itm_sith_hood_unique|Sith-Kapuze
itm_jedi_master_hood|Jedi-Meister-Kapuze
itm_jedi_master_hood_unique|Jedi-Meister-Kapuze
itm_jedi_knight_cloak|Jedi-Ritter-Umhang
itm_jedi_knight_cloak_hood|Jedi-Ritter-Umhang mit Kapuze
itm_jedi_master_cloak|Jedi-Meister-Umhang
itm_jedi_master_cloak_hood|Jedi-Meister-Umhang mit Kapuze
itm_sith_cloak|Sith-Umhang
itm_sith_cloak_hood|Sith-Umhang mit Kapuze
itm_sith_cloak_mask|Sith-Umhang mit Maske
itm_imperial_royal_guard_helmet|Imperialer Königlicher Wachenhelm
itm_shadow_guard_helmet|Imperialer Schatten-Wachenhelm
itm_desert_hat1|Wüstenhut
itm_desert_hat2|Wüstenhut
itm_desert_hat3|Wüstenhut
itm_urban_hat1|Stadthut
itm_urban_hat2|Stadthut
itm_urban_hat3|Stadthut
itm_camouflage_hat1|Tarnfarbenhut
itm_camouflage_hat2|Tarnfarbenhut
itm_camouflage_hat3|Tarnfarbenhut
itm_dress_yellow|Damenkleid
itm_dress_red|Damenkleid
itm_dress_green|Damenkleid
itm_dress_blue|Damenkleid
itm_tunic_green|Tunika
itm_tunic_white|Tunika
itm_tunic_blue|Tunika
itm_tunic_red|Tunika
itm_tunic_yellow|Tunika
itm_padded_tunic_green|Flickentunika
itm_padded_tunic_white|Flickentunika
itm_padded_tunic_blue|Flickentunika
itm_padded_tunic_red|Flickentunika
itm_padded_tunic_yellow|Tunika
itm_officer_uniform_white|Offiziers-Uniform
# itm_imperial_uniform_black_plain|Imperial Uniform
itm_female_outfit_femconblack|Weibliche Ausstattung
itm_female_outfit_femconbrowngreen|Weibliche Ausstattung
itm_female_outfit_femcongrey|Weibliche Ausstattung
itm_female_outfit_femconorange|Weibliche Ausstattung
itm_female_outfit_femconwhite|Weibliche Ausstattung
itm_female_outfit_femconwhitebrown|Weibliche Ausstattung
itm_outfit_tan|Overall
